# Start date (t3): 2016-02-01
# Target Entropy: 8192

# Draw Id                       m  n  draw
2016-02-08_fr_keno_midday       20 70 4,5,9,10,16,18,20,21,24,33,37,38,41,42,45,47,49,56,57,69
2016-02-08_nz_keno_3            20 80 69,29,63,37,13,24,34,22,75,14,70,45,59,3,41,79,46,68,74,43
2016-02-08_ca_daily_keno_night  20 70 1,3,6,8,11,12,19,20,24,29,31,35,37,40,48,51,55,56,59,66
2016-02-08_es_bonoloto          6  49 1,4,9,10,26,32
2016-02-08_nz_keno_4            20 80 7,8,64,71,41,59,43,61,68,72,37,75,76,22,79,6,55,63,19,78
2016-02-08_fr_keno_night        20 70 1,7,9,17,18,20,26,28,32,34,37,38,41,47,50,60,61,67,69,70
2016-02-08_us_ny_cash_4_life    5  60 13,23,48,57,59
2016-02-09_nz_keno_1            20 80 32,67,57,38,63,73,60,70,14,74,2,59,28,54,75,11,44,30,9,33
2016-02-09_br_quina             5  80 None
2016-02-09_au_oz_lotto          7  45 22,6,35,37,11,30,40
2016-02-09_ca_daily_keno_midday 20 70 1,4,6,8,17,25,27,32,34,38,39,43,44,45,46,51,53,58,59,67
2016-02-09_it_super_enalotto    6  90 11,26,46,56,58,78
2016-02-09_nz_keno_2            20 80 6,49,33,44,75,38,22,15,60,76,70,19,71,47,26,4,17,59,61,32
2016-02-09_de_keno              20 70 5,7,9,13,18,21,22,24,26,27,31,47,52,54,57,58,59,62,67,70
2016-02-09_fr_keno_midday       20 70 4,5,10,14,21,24,25,27,28,30,32,33,42,49,59,62,63,65,66,69
2016-02-09_nz_keno_3            20 80 58,29,45,72,47,57,70,40,21,6,19,55,52,13,33,73,54,75,8,60
2016-02-09_eu_euromillions      5  50 9,6,13,28,37
2016-02-09_ca_daily_keno_night  20 70 1,9,12,30,32,33,34,36,37,38,40,47,51,53,54,59,64,65,66,70
2016-02-09_br_dupla_sena        6  50 None
2016-02-09_es_bonoloto          6  49 6,7,21,24,25,40
2016-02-09_us_mega_millions     5  75 3,42,46,56,71
2016-02-09_nz_keno_4            20 80 49,73,37,33,53,58,67,38,39,12,71,29,54,41,60,42,65,43,28,11
2016-02-09_fr_keno_night        20 70 2,9,12,13,17,27,31,32,35,38,39,47,48,53,57,59,63,64,66,70
2016-02-09_uk_health_lottery    5  50 3,14,19,25,26
2016-02-10_nz_keno_1            20 80 73,43,10,30,31,62,49,17,32,19,14,77,68,76,48,61,75,46,42,56
2016-02-10_us_hot_lotto         5  47 6,28,45,47,40
2016-02-10_fr_loto              5  49 44,46,1,27,48
2016-02-10_nz_lotto             6  40 18,17,13,19,11,12
2016-02-10_br_quina             5  80 50,33,10,14,62
2016-02-10_ca_daily_keno_midday 20 70 9,20,21,23,24,25,26,29,33,37,42,47,50,51,52,60,61,64,65,68
2016-02-10_nz_keno_2            20 80 11,3,64,59,27,25,79,30,71,32,43,47,18,55,37,22,21,56,39,16
2016-02-10_ch_loto              6  42 3,11,15,18,25,32
2016-02-10_de_keno              20 70 1,2,3,5,9,12,26,27,30,35,37,40,45,47,49,50,51,59,63,64
2016-02-10_us_wild_card         5  33 14,3,33,13,19
2016-02-10_br_lotofacil         15 25 4,20,10,3,23,6,13,24,9,11,14,2,18,7,19
2016-02-10_fr_keno_midday       20 70 1,4,8,13,15,23,24,28,30,33,34,36,41,42,46,48,55,57,65,69
2016-02-10_be_lotto             6  45 9,10,11,25,33,45
2016-02-10_nz_keno_3            20 80 29,71,21,69,24,34,48,77,33,1,60,44,30,51,10,11,31,59,46,17
2016-02-10_us_powerball         5  69 2,62,40,50,3
2016-02-10_de_lotto             6  49 2,17,19,32,34,38
2016-02-10_au_wednesday_lotto   6  45 34,1,11,30,16,32
2016-02-10_ca_daily_keno_night  20 70 4,5,16,21,26,27,32,35,40,41,43,46,50,53,54,55,60,62,65,68
2016-02-10_es_bonoloto          6  49 2,21,23,28,29,45
2016-02-10_nz_keno_4            20 80 29,56,64,37,42,70,17,57,66,18,25,79,77,8,7,16,44,22,41,45
2016-02-10_us_ny_lotto          6  59 11,14,21,28,40,49
2016-02-10_fr_keno_night        20 70 1,5,7,8,16,25,26,29,31,32,33,39,45,46,52,54,57,66,67,70
2016-02-10_uk_health_lottery    5  50 1,18,21,36,50
2016-02-10_br_mega_sena         6  60 57,59,6,25,43,58
2016-02-10_ca_loto_649          6  49 8,13,33,34,38,43
