
# Start date (t3): 2015-10-01
# Target Entropy: 8192

# Draw Id                       m  n  draw                                                                             
2015-10-08_nz_keno_4            20 80 2,8,11,12,14,15,18,25,32,37,39,41,48,56,59,69,70,73,74,79                        
2015-10-08_us_ny_cash_4_life    5  60 25,27,28,42,53                                                                   
2015-10-09_br_dupla_sena        6  50 13,24,27,33,36,48                                                                
2015-10-09_br_lotofacil         15 25 1,4,5,7,8,11,13,14,16,17,18,20,21,22,23                                          
2015-10-09_br_quina             5  80 4,6,21,58,73                                                                     
2015-10-09_ca_daily_keno_midday 20 70 2,5,9,13,21,22,26,33,35,41,46,53,55,56,59,63,64,66,67,69                         
2015-10-09_ca_daily_keno_night  20 70 7,8,10,16,18,20,22,23,25,28,33,45,47,48,53,57,58,60,63,68                        
2015-10-09_ca_loto_max          7  49 8,11,14,23,26,42,47                                                              
2015-10-09_de_euro_jackpot      5  50 13,14,23,26,31                                                                   
2015-10-09_de_keno              20 70 4,5,9,17,28,37,38,39,41,42,44,49,50,52,53,55,62,64,68,70                         
2015-10-09_es_bonoloto          6  49 2,5,8,9,14,17                                                                    
2015-10-09_eu_euromillions      5  50 1,40,42,43,47                                                                    
2015-10-09_fr_keno_midday       20 70 7,11,12,18,20,23,24,33,34,37,40,49,50,51,53,56,66,68,69,70                       
2015-10-09_fr_keno_night        20 70 11,13,20,21,23,26,27,30,34,35,52,53,56,57,59,62,64,66,68,70                      
2015-10-09_nz_keno_1            20 80 6,7,9,10,11,12,14,27,31,32,36,38,55,61,64,65,66,68,69,73                         
2015-10-09_nz_keno_2            20 80 3,4,5,11,16,17,22,23,26,27,30,36,37,40,48,54,57,59,60,70                         
2015-10-09_nz_keno_3            20 80 3,5,18,21,26,30,37,40,44,45,48,50,51,55,56,65,66,67,68,73                        
2015-10-09_nz_keno_4            20 80 6,7,10,13,15,29,30,31,42,44,49,54,57,60,65,67,72,73,76,78                        
2015-10-09_us_mega_millions     5  75 8,9,21,63,75                                                                     
2015-10-10_au_saturday_lotto    6  45 1,5,7,8,15,39                                                                    
2015-10-10_be_lotto             6  45 13,18,19,20,22,23                                                                
2015-10-10_br_mega_sena         6  60 3,13,14,29,33,43                                                                 
2015-10-10_br_quina             5  80 6,27,42,59,61                                                                    
2015-10-10_ca_daily_keno_midday 20 70 2,3,6,8,9,11,13,18,20,26,27,31,32,43,47,53,55,56,59,65                           
2015-10-10_ca_daily_keno_night  20 70 4,5,7,8,10,12,22,25,34,35,40,41,42,48,50,51,58,59,66,67                          
2015-10-10_ca_loto_649          6  49 8,12,22,27,35,41                                                                 
2015-10-10_ca_lottario          6  45 5,13,19,24,28,37                                                                 
2015-10-10_ch_loto              6  42 7,13,22,29,35,39                                                                 
2015-10-10_de_keno              20 70 2,5,7,9,11,13,14,18,19,21,24,25,30,45,49,62,63,65,67,70                          
2015-10-10_de_lotto             6  49 5,26,37,38,40,49                                                                 
2015-10-10_es_bonoloto          6  49 9,13,16,33,41,48                                                                 
2015-10-10_es_la_primitiva      6  49 7,11,22,23,26,30                                                                 
2015-10-10_fr_keno_midday       20 70 1,3,11,13,14,19,21,26,28,31,45,47,49,56,57,59,61,64,68,69                        
2015-10-10_fr_keno_night        20 70 4,6,10,12,16,19,30,34,36,41,42,45,46,48,53,59,62,63,66,67                        
2015-10-10_fr_loto              5  49 15,23,30,41,45                                                                   
2015-10-10_it_super_enalotto    6  90 32,41,45,47,78,90                                                                
2015-10-10_mu_loto              6  40 2,17,21,24,36,40                                                                 
2015-10-10_nl_lotto             6  45 1,5,9,11,15,30                                                                   
2015-10-10_nz_keno_1            20 80 3,5,6,8,9,13,17,21,32,35,44,59,62,65,66,67,70,72,77,79                           
2015-10-10_nz_keno_2            20 80 1,2,3,11,14,20,22,23,27,34,36,44,47,55,61,66,70,76,79,80                         
2015-10-10_nz_keno_3            20 80 7,9,15,18,19,20,23,25,28,30,31,39,41,52,55,60,67,73,77,78                        
2015-10-10_nz_keno_4            20 80 2,3,7,8,10,15,22,24,28,32,33,34,44,47,68,71,72,74,77,78                          
2015-10-10_nz_lotto             6  40 12,16,23,27,28,30                                                                
2015-10-10_uk_health_lottery    5  50 9,23,24,42,43                                                                    
2015-10-10_us_hot_lotto         5  47 9,13,15,19,22                                                                    
2015-10-10_us_ny_lotto          6  59 2,17,26,39,40,41                                                                 
2015-10-10_us_powerball         5  69 12,27,29,43,68                                                                   
2015-10-10_us_wild_card         5  33 4,13,20,21,33                                                                    
2015-10-11_ca_daily_keno_midday 20 70 1,3,6,8,10,12,15,16,20,30,43,48,51,52,54,59,62,63,67,69                          
2015-10-11_ca_daily_keno_night  20 70 6,10,12,15,18,25,32,38,39,40,44,53,56,57,58,60,61,62,67,70                       
2015-10-11_de_keno              20 70 10,16,20,23,24,27,30,31,36,38,39,43,44,48,52,57,59,61,63,64                      
2015-10-11_es_el_gordo          5  54 3,13,14,19,30                                                                    
2015-10-11_fr_keno_midday       20 70 7,9,11,12,14,15,20,21,24,25,27,36,38,48,54,58,59,63,65,70                        
2015-10-11_fr_keno_night        20 70 2,4,9,10,12,20,26,28,31,34,36,38,41,43,48,51,52,54,61,64                         
2015-10-11_nz_keno_1            20 80 3,11,12,23,25,28,30,35,36,38,39,50,51,57,58,63,68,72,76,80                       
2015-10-11_nz_keno_2            20 80 3,11,13,16,21,25,34,38,39,42,45,54,62,63,68,71,72,73,76,77                       
2015-10-11_nz_keno_3            20 80 6,8,9,10,13,25,27,33,35,36,40,51,52,53,54,55,57,60,65,70                         
2015-10-11_nz_keno_4            20 80 2,7,10,17,22,24,28,30,31,32,33,34,38,39,40,42,43,45,66,74                        
2015-10-12_au_monday_lotto      6  45 3,10,13,16,36,40                                                                 
2015-10-12_br_lotofacil         15 25 None                                                                             
2015-10-12_br_quina             5  80 None                                                                             
2015-10-12_ca_daily_keno_midday 20 70 2,6,13,14,15,18,19,21,28,29,38,39,44,49,52,56,57,61,68,70                        
2015-10-12_ca_daily_keno_night  20 70 3,6,9,10,11,17,21,23,24,27,32,37,41,47,48,51,54,56,62,69                         
2015-10-12_de_keno              20 70 5,6,7,9,13,15,20,21,22,27,30,31,36,38,39,40,44,59,61,68                          
2015-10-12_es_bonoloto          6  49 8,16,24,42,45,47                                                                 
2015-10-12_fr_keno_midday       20 70 2,3,6,16,18,23,26,31,32,33,42,46,47,51,52,55,58,62,64,67                         
2015-10-12_fr_keno_night        20 70 4,7,9,11,12,13,14,17,18,23,26,33,34,37,38,40,48,57,65,68                         
2015-10-12_fr_loto              5  49 1,3,4,16,49                                                                      
2015-10-12_nz_keno_1            20 80 13,15,17,22,23,26,29,33,37,39,40,50,52,53,54,56,60,62,73,76                      
2015-10-12_nz_keno_2            20 80 1,10,23,28,36,37,38,41,42,43,44,47,48,49,55,58,62,63,66,72                       
2015-10-12_nz_keno_3            20 80 8,9,12,18,21,25,33,38,48,49,55,58,59,61,66,68,72,76,78,79                        
2015-10-12_nz_keno_4            20 80 9,12,13,15,20,25,27,30,31,46,47,50,54,64,68,69,70,71,79,80                       
2015-10-12_us_ny_cash_4_life    5  60 28,30,36,38,39                                                                   
2015-10-13_au_oz_lotto          7  45 28,29,32,34,36,37,41                                                             
2015-10-13_br_dupla_sena        6  50 11,19,24,28,31,38                                                                
2015-10-13_br_quina             5  80 6,13,35,46,49                                                                    
2015-10-13_ca_daily_keno_midday 20 70 1,3,11,14,15,16,19,25,30,35,43,47,50,52,53,55,57,58,61,62                        
2015-10-13_ca_daily_keno_night  20 70 3,4,10,12,17,19,20,22,23,28,31,32,36,45,46,47,60,65,68,70                        
2015-10-13_de_keno              20 70 4,10,13,20,28,32,40,42,43,44,46,47,52,54,58,63,64,66,67,70                       
2015-10-13_es_bonoloto          6  49 11,19,32,35,39,44                                                                
2015-10-13_eu_euromillions      5  50 12,15,26,29,47                                                                   
